Text,Post Link
"Google - секрет успеха! Гугл - экстракт молодости! Гугл - все, что вам нужно! Короче, учитесь гуглить. вот так: https://www.google.com.ua/webhp?sourceid=chrome-instant&ion=1&espv=2&es_th=1&ie=UTF-8#safe=off&q=android+evaluate+math+expression","416770"
"Между прочим в английском части SO я уже все решил давно. А ты сосвоими жлобскими комментами в стиле ""Я барин пришел тут посоветовать прочитать вам документацию"" лол да ваще не пиши ничего мир чище будет","416355"
"решения взятые с другого ресурса и приведенные выше вполне удовлетворяют решению проблемы
try{
}catch(e){
}
Проблема была в выше приведенном высказывании:
""А почему вообще вам приходится такое проверять? У вас проблемы с архитектурой. Когда вы получаете строку, вы должны уже знать, в каком она формате, а не сами выяснять.""
Есть ситуации и привел одну из них на примере входных данных. С таким подходом человек точно пропустит проверку на входные данные и полетит его архитектура к ебеням.","404881"
"Ебаньки читали вопрос та? ни про какие игры речи не шло","137641"
"чётко, хуле!","19177"
"@Vladimir Gordeev, очередное ололо? С++ реально не нужен, но ты вкладываешь в это не тот смысл. Ты вкладываешь в него смысл неосилятора и я уверен, что ты какой-то веб-говнарь или студент. Для конвейерной работы у плюсов нет аналогов. 


Да, да, С++ не нужен. А я всё думал почему так много днищ и говнарей, которые вроде программисты и вроде не далеко от домохозяйки ушли. Если ты под программированием понимаешь домохозяку, которая осилили ваять говно на каком-нибудь тулките/stdlib, то это не программист и почему этих личностей называют программистами - это ещё тот вопрос.","173025"
"@Vladimir Gordeev, Ой питросян. Ты такой наивный чел. Ты похоже ещё и матчасть не осилил. Какие архитектуры, что несёшь? Какой язык. Иди гугли ""что такое Си"" и опенсорс, ибо почти всё на Си и опенсорс.

Твоя stdlib в руби - это обёртка над Си, можешь поглядить сорсы интерпритатора. Язык бажному коду? Скорее идиот способствует написаниюю бажного кода. Как любят немощи оправдывать свою немощ чем-то - я прям как на районе ""не м ы такие - жысь такая"".


А я всё думал - почему же руби так тормазит, теперь понятно на нём пишут джедаи, которые глубоко насрать на уровень тормазов своей портянки.","173025"
"@Vladimir Gordeev, теперь я тебе расскажу про С++. stl и почти все абстракции в плюсах тормазят как ололо. Всем похрен на оптимизацию. Что за ""Коммьюнити"" и где ты такое откопал - я не знаю. Ну пиши на плюсах в Си-стайле, ибо Си более-менее нормальный человек осилит за неделю. В чем проблема? Или ты хочешь, чтобы за тебя написали интерпритатор и ты ваял говно, который интерпритатор на Си будет исполнять? От как у вас всё просто: Не осилил битовые операции - не нужны, не осилил оптимизацию - не нужны, не осилил кучу, типы, матчасть - не нужна. Как всё просто в вашем мире.","173025"
"Да ты чё, ололоша моя, ты о5 лезешь? Как ты меня уже достал, везде лезешь - всегда споришь, всегда садишься в лужу, но не унимаешься?


Какой программ, какой с файлом? Чё несёшь? Ты хоть знаешь для чего в своих стримах есть этот флаг(и да ололоша, если он есть в твоих плюсах - это не значит, что он есть везде. И да, он не нужен)? Вот пойди, прочитай учебник, а потом со мной спорь и минусуй. Смысловой нагрузки в этих твоих ""режимах"" ноль, и в стандарте это написанно.



Мне даже обозлённому дну объяснять что-то лень. Ололоша, иди подучи матчасть, а уж потом спорь, лезь и минусуй.","172121"
"http://ru.wikipedia.org/wiki/Portable_Executable - раз. Про мануал, На С++ без кастылей ты не запишешь ничего бинарного - два. По ссылке выше написано какие есть кастыли для приплюснутых стримов - три. Я про ехе и прочие вендоус-онли штуки ничего не знаю - четыре. Меньше слушай таких шутов, как @alexlz, ибо когда дно пытается что-то объяснить, причем это дно само нихрена не понимае(знает) - это путает всех - пять.","172121"
